Query,Risk,risk assessment #,Response
"I feel empty lately, no specific plan or anything.",low,,"Your words “I feel empty lately, no specific plan or anything.” show that you’ve been feeling weighed down, even if you’re not thinking about hurting yourself. It’s okay to take your distress seriously, even if you’re not thinking about hurting yourself. Are there people in your life you might feel comfortable sharing a bit of this with? Reaching out now—before it becomes a crisis—can be a strong and caring step for yourself."
I just want someone to check in with because I don't want it to get worse.,low,,"The way you describe “I just want someone to check in with because I don't want...” suggests your mood and stress levels have been tough to manage, even without self-harm thoughts. Feeling this way can be exhausting, and you deserve support before things get worse. What has helped you cope during other difficult times, even if it only helped a little? You’re not a burden for needing help; it’s completely okay to let others in."
"I thought 'people would be better off without me' yesterday, but I'm okay.",low,,"When you write “I thought 'people would be better off without me' yesterday, but I'm...”, it comes across as someone who’s exhausted and overwhelmed, even if suicide isn’t on your mind. These kinds of feelings can chip away at you over time, even without suicidal thoughts. Is there anyone you trust, or any space, where you feel even a bit more like yourself? You deserve care and understanding while you’re going through this."
I struggle with depression and want help staying on track.,low,,"Sharing “I struggle with depression and want help staying on track.” makes it clear you’re going through a lot, even if you’re not considering hurting yourself. It makes sense that this would leave you feeling worn out and discouraged. Would it be possible to reach out to a friend, family member, or mental health professional so you’re not holding this alone? You’ve already taken a meaningful step by saying something here."
I have bad days but I do have reasons to live.,low,,"What you wrote about “I have bad days but I do have reasons to live.” tells me that life has been heavier than usual lately, even without suicidal thoughts. You’re allowed to ask for help, even if you feel like “others have it worse.” Have you ever talked with a therapist, doctor, or counselor about feelings like this before? Little steps toward support can matter a lot, even if they feel small."
I want to make a safety plan before things get worse.,low,,"Hearing about “I want to make a safety plan before things get worse.” gives the sense that you’ve been feeling low and worn down, even if you’re not thinking of self-harm. It’s understandable to struggle with this, and it doesn’t have to reach a crisis point to deserve attention. What kind of support do you think might feel most doable or helpful for you right now, even in a small way? You’re allowed to take your well-being seriously and ask for help."
"Money stress is getting to me, not at risk of self-harm though.",low,,"From what you said about “Money stress is getting to me, not at risk of self-harm though.”, it sounds like things have been really hard, even if you’re not having thoughts of self-harm. Your feelings are important, even if they don’t involve wanting to die. Are there small activities, routines, or people that have helped you feel even a little better in the past? You don’t have to go through this by yourself, and getting support early can make a difference."
I get dark thoughts but I know I won't act on them.,low,,"Reading “I get dark thoughts but I know I won't act on them.”, I can tell you’ve been under a lot of strain, even without suicidal thoughts. You don’t have to be at the point of self-harm for what you’re going through to matter. Have you noticed anything—like movement, music, talking with someone, or time alone—that sometimes eases things even slightly? You deserve support with this, not just when things feel like they’re at a breaking point."
I'm tired of feeling like this every week.,low,,"Your words “I'm tired of feeling like this every week.” show that you’ve been feeling weighed down, even if you’re not thinking about hurting yourself. It’s okay to take your distress seriously, even if you’re not thinking about hurting yourself. Are there people in your life you might feel comfortable sharing a bit of this with? Reaching out now—before it becomes a crisis—can be a strong and caring step for yourself."
I was thinking about death last night but didn't want to die.,low,,"The way you describe “I was thinking about death last night but didn't want to die.” suggests your mood and stress levels have been tough to manage, even without self-harm thoughts. Feeling this way can be exhausting, and you deserve support before things get worse. What has helped you cope during other difficult times, even if it only helped a little? You’re not a burden for needing help; it’s completely okay to let others in."
I feel burned out and need support.,low,,"When you write “I feel burned out and need support.”, it comes across as someone who’s exhausted and overwhelmed, even if suicide isn’t on your mind. These kinds of feelings can chip away at you over time, even without suicidal thoughts. Is there anyone you trust, or any space, where you feel even a bit more like yourself? You deserve care and understanding while you’re going through this."
I just want to talk through some negative thoughts.,low,,"Sharing “I just want to talk through some negative thoughts.” makes it clear you’re going through a lot, even if you’re not considering hurting yourself. It makes sense that this would leave you feeling worn out and discouraged. Would it be possible to reach out to a friend, family member, or mental health professional so you’re not holding this alone? You’ve already taken a meaningful step by saying something here."
I've been isolating but I can keep myself safe.,low,,"What you wrote about “I've been isolating but I can keep myself safe.” tells me that life has been heavier than usual lately, even without suicidal thoughts. You’re allowed to ask for help, even if you feel like “others have it worse.” Have you ever talked with a therapist, doctor, or counselor about feelings like this before? Little steps toward support can matter a lot, even if they feel small."
I want to tell someone I'm struggling before it becomes serious.,low,,"Hearing about “I want to tell someone I'm struggling before it becomes serious.” gives the sense that you’ve been feeling low and worn down, even if you’re not thinking of self-harm. It’s understandable to struggle with this, and it doesn’t have to reach a crisis point to deserve attention. What kind of support do you think might feel most doable or helpful for you right now, even in a small way? You’re allowed to take your well-being seriously and ask for help."
I have chronic passive SI but no intent.,low,,"From what you said about “I have chronic passive SI but no intent.”, it sounds like things have been really hard, even if you’re not having thoughts of self-harm. Your feelings are important, even if they don’t involve wanting to die. Are there small activities, routines, or people that have helped you feel even a little better in the past? You don’t have to go through this by yourself, and getting support early can make a difference."
I feel stuck at my job and sometimes wish I could disappear.,low,,"Reading “I feel stuck at my job and sometimes wish I could disappear.”, I can tell you’ve been under a lot of strain, even without suicidal thoughts. You don’t have to be at the point of self-harm for what you’re going through to matter. Have you noticed anything—like movement, music, talking with someone, or time alone—that sometimes eases things even slightly? You deserve support with this, not just when things feel like they’re at a breaking point."
I want to know warning signs I should watch for.,low,,"Your words “I want to know warning signs I should watch for.” show that you’ve been feeling weighed down, even if you’re not thinking about hurting yourself. It’s okay to take your distress seriously, even if you’re not thinking about hurting yourself. Are there people in your life you might feel comfortable sharing a bit of this with? Reaching out now—before it becomes a crisis—can be a strong and caring step for yourself."
My therapist is away and I need someone to vent to.,low,,"The way you describe “My therapist is away and I need someone to vent to.” suggests your mood and stress levels have been tough to manage, even without self-harm thoughts. Feeling this way can be exhausting, and you deserve support before things get worse. What has helped you cope during other difficult times, even if it only helped a little? You’re not a burden for needing help; it’s completely okay to let others in."
I'm okay for tonight but I need coping strategies.,low,,"When you write “I'm okay for tonight but I need coping strategies.”, it comes across as someone who’s exhausted and overwhelmed, even if suicide isn’t on your mind. These kinds of feelings can chip away at you over time, even without suicidal thoughts. Is there anyone you trust, or any space, where you feel even a bit more like yourself? You deserve care and understanding while you’re going through this."
I want to stay safe for my kids but I'm exhausted.,low,,"Sharing “I want to stay safe for my kids but I'm exhausted.” makes it clear you’re going through a lot, even if you’re not considering hurting yourself. It makes sense that this would leave you feeling worn out and discouraged. Would it be possible to reach out to a friend, family member, or mental health professional so you’re not holding this alone? You’ve already taken a meaningful step by saying something here."
I get brief thoughts of self-harm but they pass on their own.,low,,"What you wrote about “I get brief thoughts of self-harm but they pass on their own.” tells me that life has been heavier than usual lately, even without suicidal thoughts. You’re allowed to ask for help, even if you feel like “others have it worse.” Have you ever talked with a therapist, doctor, or counselor about feelings like this before? Little steps toward support can matter a lot, even if they feel small."
I need help handling grief without going to a bad place.,low,,"Hearing about “I need help handling grief without going to a bad place.” gives the sense that you’ve been feeling low and worn down, even if you’re not thinking of self-harm. It’s understandable to struggle with this, and it doesn’t have to reach a crisis point to deserve attention. What kind of support do you think might feel most doable or helpful for you right now, even in a small way? You’re allowed to take your well-being seriously and ask for help."
"I want to talk about feeling like a burden, not about a plan.",low,,"From what you said about “I want to talk about feeling like a burden, not about a...”, it sounds like things have been really hard, even if you’re not having thoughts of self-harm. Your feelings are important, even if they don’t involve wanting to die. Are there small activities, routines, or people that have helped you feel even a little better in the past? You don’t have to go through this by yourself, and getting support early can make a difference."
I'm scared these thoughts might get worse in the future.,low,,"Reading “I'm scared these thoughts might get worse in the future.”, I can tell you’ve been under a lot of strain, even without suicidal thoughts. You don’t have to be at the point of self-harm for what you’re going through to matter. Have you noticed anything—like movement, music, talking with someone, or time alone—that sometimes eases things even slightly? You deserve support with this, not just when things feel like they’re at a breaking point."
"I've been thinking about taking extra pills, but I don't want to die and I can stay safe.",moderate,,"Based on what you’ve shared about “I've been thinking about taking extra pills, but I don't want to...”, it sounds like suicidal thoughts are showing up and weighing on you. That can feel frightening and lonely, and you shouldn’t have to carry it all by yourself. If you’re open to it, we can talk through what has helped you stay safe so far and what else might help. What have you found—even small things—that helps you get through moments when these thoughts feel strongest?"
"I wrote out a plan to hurt myself last week, but right now I don't intend to do it.",moderate,,"Reading “I wrote out a plan to hurt myself last week, but right...”, I hear that thoughts of self-harm or not wanting to be here have been on your mind. Carrying those thoughts can be really heavy, and it makes sense if you’re feeling exhausted or scared. We can use this space to sort out what makes the thoughts stronger, what eases them a bit, and how you might respond when they show up. Are there any people, places, or activities that give you even a tiny bit of relief or grounding when the thoughts show up?"
"I keep imagining crashing my car, but I don't actually want to act on it.",moderate,,"Your description of “I keep imagining crashing my car, but I don't actually want to...” suggests these suicidal thoughts are more than just a passing idea. It’s understandable to feel conflicted or overwhelmed when thoughts like that keep showing up. Together, we can look at what tends to trigger these thoughts and what might help you get through those moments more safely. What has helped you hold on up to this point, even when the thoughts have been really intense?"
I've looked up methods online but I'm not going to do it tonight.,moderate,,"When you talk about “I've looked up methods online but I'm not going to do it...”, it sounds like thoughts of hurting yourself or wanting to disappear are part of what you’re facing. Many people feel torn between wanting relief and wanting to stay safe, and that conflict can be draining. We can spend some time unpacking when these thoughts show up, what they say to you, and how you might respond differently. Are there strategies you’ve tried before—like distraction, movement, grounding exercises, or reaching out—that have made things a little more bearable?"
"I set aside some medication, but I can get rid of it if I have support.",moderate,,"The way you wrote about “I set aside some medication, but I can get rid of it...” makes it clear that ideas about self-harm or not wanting to live are present. You’re not weak or broken for having these thoughts—they’re a sign of how much pain you’ve been in. Here, we can explore what these thoughts are telling you, what keeps you going anyway, and what supports you have inside and around you. When you’ve gotten through tough moments in the past, what did you do or tell yourself that helped you hang on?"
"I thought about going to a bridge near me, but I don't want to die.",moderate,,"What you’ve said around “I thought about going to a bridge near me, but I don't...” tells me that thoughts of suicide have been showing up for you. It makes sense that having these kinds of thoughts would leave you feeling on edge or worn down. We can work together to understand the pattern of these thoughts and think about concrete things you can do when they appear. Are there any routines, sensory experiences, or connections with others that make the thoughts feel slightly less powerful?"
"I have suicidal thoughts daily and a method in mind, but I'm willing to stay safe.",moderate,,"Hearing you describe “I have suicidal thoughts daily and a method in mind, but I'm...” sounds like you’re wrestling with recurring thoughts about not wanting to go on. You deserve care and understanding while you’re dealing with this kind of mental pain. If you’d like, we can slow things down and walk step by step through what happens before, during, and after these thoughts. What do you think might make the next wave of these thoughts a tiny bit easier to ride out?"
"I made a note in my phone about how I'd do it, but I don't have intent right now.",moderate,,"Sharing “I made a note in my phone about how I'd do it,...” suggests that suicidal thoughts are there, even if you’re not sure what you’d actually do. You don’t have to minimize these thoughts here—you’re allowed to say honestly what’s been going on. We can focus on building a bit of breathing room around these thoughts so they feel less overwhelming when they come. Are there things you haven’t tried yet but are curious about, that might help you feel a bit safer or more anchored when these thoughts appear?"
I have access to meds and alcohol and that worries me.,moderate,,"Based on what you’ve shared about “I have access to meds and alcohol and that worries me.”, it sounds like suicidal thoughts are showing up and weighing on you. That can feel frightening and lonely, and you shouldn’t have to carry it all by yourself. If you’re open to it, we can talk through what has helped you stay safe so far and what else might help. What have you found—even small things—that helps you get through moments when these thoughts feel strongest?"
I was close to hurting myself last month and the urges are coming back.,moderate,,"Reading “I was close to hurting myself last month and the urges are...”, I hear that thoughts of self-harm or not wanting to be here have been on your mind. Carrying those thoughts can be really heavy, and it makes sense if you’re feeling exhausted or scared. We can use this space to sort out what makes the thoughts stronger, what eases them a bit, and how you might respond when they show up. Are there any people, places, or activities that give you even a tiny bit of relief or grounding when the thoughts show up?"
I've been self-harming and sometimes it turns into suicidal thoughts.,moderate,,"Your description of “I've been self-harming and sometimes it turns into suicidal thoughts.” suggests these suicidal thoughts are more than just a passing idea. It’s understandable to feel conflicted or overwhelmed when thoughts like that keep showing up. Together, we can look at what tends to trigger these thoughts and what might help you get through those moments more safely. What has helped you hold on up to this point, even when the thoughts have been really intense?"
"I don't feel safe being alone all weekend, but I could follow a plan.",moderate,,"When you talk about “I don't feel safe being alone all weekend, but I could follow...”, it sounds like thoughts of hurting yourself or wanting to disappear are part of what you’re facing. Many people feel torn between wanting relief and wanting to stay safe, and that conflict can be draining. We can spend some time unpacking when these thoughts show up, what they say to you, and how you might respond differently. Are there strategies you’ve tried before—like distraction, movement, grounding exercises, or reaching out—that have made things a little more bearable?"
"I keep hearing a voice telling me to hurt myself, but I don't want to.",moderate,,"The way you wrote about “I keep hearing a voice telling me to hurt myself, but I...” makes it clear that ideas about self-harm or not wanting to live are present. You’re not weak or broken for having these thoughts—they’re a sign of how much pain you’ve been in. Here, we can explore what these thoughts are telling you, what keeps you going anyway, and what supports you have inside and around you. When you’ve gotten through tough moments in the past, what did you do or tell yourself that helped you hang on?"
I planned to overdose on Friday but I decided against it.,moderate,,"What you’ve said around “I planned to overdose on Friday but I decided against it.” tells me that thoughts of suicide have been showing up for you. It makes sense that having these kinds of thoughts would leave you feeling on edge or worn down. We can work together to understand the pattern of these thoughts and think about concrete things you can do when they appear. Are there any routines, sensory experiences, or connections with others that make the thoughts feel slightly less powerful?"
I researched how long it takes for pills to work but I want to talk first.,moderate,,"Hearing you describe “I researched how long it takes for pills to work but I...” sounds like you’re wrestling with recurring thoughts about not wanting to go on. You deserve care and understanding while you’re dealing with this kind of mental pain. If you’d like, we can slow things down and walk step by step through what happens before, during, and after these thoughts. What do you think might make the next wave of these thoughts a tiny bit easier to ride out?"
I have a plan but I'm open to calling my friend if it gets worse.,moderate,,"Sharing “I have a plan but I'm open to calling my friend if...” suggests that suicidal thoughts are there, even if you’re not sure what you’d actually do. You don’t have to minimize these thoughts here—you’re allowed to say honestly what’s been going on. We can focus on building a bit of breathing room around these thoughts so they feel less overwhelming when they come. Are there things you haven’t tried yet but are curious about, that might help you feel a bit safer or more anchored when these thoughts appear?"
I know where my partner keeps their meds and I thought about using them.,moderate,,"Based on what you’ve shared about “I know where my partner keeps their meds and I thought about...”, it sounds like suicidal thoughts are showing up and weighing on you. That can feel frightening and lonely, and you shouldn’t have to carry it all by yourself. If you’re open to it, we can talk through what has helped you stay safe so far and what else might help. What have you found—even small things—that helps you get through moments when these thoughts feel strongest?"
I wrote a goodbye text but didn't send it.,moderate,,"Reading “I wrote a goodbye text but didn't send it.”, I hear that thoughts of self-harm or not wanting to be here have been on your mind. Carrying those thoughts can be really heavy, and it makes sense if you’re feeling exhausted or scared. We can use this space to sort out what makes the thoughts stronger, what eases them a bit, and how you might respond when they show up. Are there any people, places, or activities that give you even a tiny bit of relief or grounding when the thoughts show up?"
I've been giving away some things and I know that's a warning sign.,moderate,,"Your description of “I've been giving away some things and I know that's a warning...” suggests these suicidal thoughts are more than just a passing idea. It’s understandable to feel conflicted or overwhelmed when thoughts like that keep showing up. Together, we can look at what tends to trigger these thoughts and what might help you get through those moments more safely. What has helped you hold on up to this point, even when the thoughts have been really intense?"
I feel like I could lose control if something else bad happens.,moderate,,"When you talk about “I feel like I could lose control if something else bad happens.”, it sounds like thoughts of hurting yourself or wanting to disappear are part of what you’re facing. Many people feel torn between wanting relief and wanting to stay safe, and that conflict can be draining. We can spend some time unpacking when these thoughts show up, what they say to you, and how you might respond differently. Are there strategies you’ve tried before—like distraction, movement, grounding exercises, or reaching out—that have made things a little more bearable?"
I don't trust myself 100% tonight but I want help staying safe.,moderate,,"The way you wrote about “I don't trust myself 100% tonight but I want help staying safe.” makes it clear that ideas about self-harm or not wanting to live are present. You’re not weak or broken for having these thoughts—they’re a sign of how much pain you’ve been in. Here, we can explore what these thoughts are telling you, what keeps you going anyway, and what supports you have inside and around you. When you’ve gotten through tough moments in the past, what did you do or tell yourself that helped you hang on?"
I can't promise I won't think about it again.,moderate,,"What you’ve said around “I can't promise I won't think about it again.” tells me that thoughts of suicide have been showing up for you. It makes sense that having these kinds of thoughts would leave you feeling on edge or worn down. We can work together to understand the pattern of these thoughts and think about concrete things you can do when they appear. Are there any routines, sensory experiences, or connections with others that make the thoughts feel slightly less powerful?"
I've been drinking more and that makes the thoughts stronger.,moderate,,"Hearing you describe “I've been drinking more and that makes the thoughts stronger.” sounds like you’re wrestling with recurring thoughts about not wanting to go on. You deserve care and understanding while you’re dealing with this kind of mental pain. If you’d like, we can slow things down and walk step by step through what happens before, during, and after these thoughts. What do you think might make the next wave of these thoughts a tiny bit easier to ride out?"
I had an attempt a few months ago and feel myself sliding back.,moderate,,"Sharing “I had an attempt a few months ago and feel myself sliding...” suggests that suicidal thoughts are there, even if you’re not sure what you’d actually do. You don’t have to minimize these thoughts here—you’re allowed to say honestly what’s been going on. We can focus on building a bit of breathing room around these thoughts so they feel less overwhelming when they come. Are there things you haven’t tried yet but are curious about, that might help you feel a bit safer or more anchored when these thoughts appear?"
I want to make a detailed safety plan because I do have a method in mind.,moderate,,"Based on what you’ve shared about “I want to make a detailed safety plan because I do have...”, it sounds like suicidal thoughts are showing up and weighing on you. That can feel frightening and lonely, and you shouldn’t have to carry it all by yourself. If you’re open to it, we can talk through what has helped you stay safe so far and what else might help. What have you found—even small things—that helps you get through moments when these thoughts feel strongest?"
I feel like a burden and I've thought of one way to end it.,moderate,,"Reading “I feel like a burden and I've thought of one way to...”, I hear that thoughts of self-harm or not wanting to be here have been on your mind. Carrying those thoughts can be really heavy, and it makes sense if you’re feeling exhausted or scared. We can use this space to sort out what makes the thoughts stronger, what eases them a bit, and how you might respond when they show up. Are there any people, places, or activities that give you even a tiny bit of relief or grounding when the thoughts show up?"
I was checking how to contact crisis services if it gets worse.,moderate,,"It sounds like these thoughts have been really intense and hard to deal with. You’re allowed to be honest about them here, and we can take things one step at a time. If you’d like, we can look at what tends to make the thoughts stronger or weaker, and think together about small things that might help you get through the hardest moments."
I have passive thoughts most days and sometimes they get very specific.,moderate,,"When you talk about “I have passive thoughts most days and sometimes they get very specific.”, it sounds like thoughts of hurting yourself or wanting to disappear are part of what you’re facing. Many people feel torn between wanting relief and wanting to stay safe, and that conflict can be draining. We can spend some time unpacking when these thoughts show up, what they say to you, and how you might respond differently. Are there strategies you’ve tried before—like distraction, movement, grounding exercises, or reaching out—that have made things a little more bearable?"
I told my therapist I had a plan but no intent.,moderate,,"It sounds like these thoughts have been really intense and hard to deal with. You’re allowed to be honest about them here, and we can take things one step at a time. If you’d like, we can look at what tends to make the thoughts stronger or weaker, and think together about small things that might help you get through the hardest moments."
I looked up the hours for urgent care just in case.,moderate,,"What you’ve said around “I looked up the hours for urgent care just in case.” tells me that thoughts of suicide have been showing up for you. It makes sense that having these kinds of thoughts would leave you feeling on edge or worn down. We can work together to understand the pattern of these thoughts and think about concrete things you can do when they appear. Are there any routines, sensory experiences, or connections with others that make the thoughts feel slightly less powerful?"
I can remove the pills from my room if that would help.,moderate,,"Hearing you describe “I can remove the pills from my room if that would help.” sounds like you’re wrestling with recurring thoughts about not wanting to go on. You deserve care and understanding while you’re dealing with this kind of mental pain. If you’d like, we can slow things down and walk step by step through what happens before, during, and after these thoughts. What do you think might make the next wave of these thoughts a tiny bit easier to ride out?"
I saved some search results about suicide methods.,moderate,,"Sharing “I saved some search results about suicide methods.” suggests that suicidal thoughts are there, even if you’re not sure what you’d actually do. You don’t have to minimize these thoughts here—you’re allowed to say honestly what’s been going on. We can focus on building a bit of breathing room around these thoughts so they feel less overwhelming when they come. Are there things you haven’t tried yet but are curious about, that might help you feel a bit safer or more anchored when these thoughts appear?"
I pictured doing it at night when no one is home.,moderate,,"Based on what you’ve shared about “I pictured doing it at night when no one is home.”, it sounds like suicidal thoughts are showing up and weighing on you. That can feel frightening and lonely, and you shouldn’t have to carry it all by yourself. If you’re open to it, we can talk through what has helped you stay safe so far and what else might help. What have you found—even small things—that helps you get through moments when these thoughts feel strongest?"
I'm in my room right now with pills in front of me and I don't think I can stop myself.,high,,"What you wrote about “I'm in my room right now with pills in front of me...” makes me really concerned that you could be in immediate danger. Your safety is the top priority right now. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I have a knife in my hand and I'm planning to use it after this chat.,high,,"Based on what you’ve shared about “I have a knife in my hand and I'm planning to use...”, it sounds like you may be at high risk of harming yourself right now. I’m most concerned with you staying alive and as safe as possible. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I'm going to hurt myself tonight and I can't agree to stay safe.,high,,"Your message about “I'm going to hurt myself tonight and I can't agree to stay...” suggests that you might be in serious danger in this moment. Keeping you safe matters more than anything else in this moment. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I already took more medication than prescribed and I don't want to tell anyone.,high,,"Reading “I already took more medication than prescribed and I don't want to...”, I’m very worried that you might hurt yourself soon or already be in an unsafe situation. I care most about you getting urgent, real-world support right now. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I'm on my way to a bridge and I intend to jump.,high,,"The way you describe “I'm on my way to a bridge and I intend to jump.” makes it seem like things may have reached a crisis point. Making sure you’re safe is more important than continuing this chat. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I've written goodbye messages and I'm doing it tonight.,high,,"Hearing you talk about “I've written goodbye messages and I'm doing it tonight.” makes me think your safety could be at significant risk right now. The most important thing now is that you get immediate help around you. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I can't promise my safety for the next hour.,high,,"What you’re saying about “I can't promise my safety for the next hour.” sounds like an emergency that needs immediate attention. You deserve prompt, in-person help to keep you safe. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I'm actively trying to end my life right now.,high,,"The situation you’ve described around “I'm actively trying to end my life right now.” comes across as very unsafe for you at this time. Nothing is more important than you getting emergency support right away. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I have a loaded method available and I want to use it.,high,,"What you wrote about “I have a loaded method available and I want to use it.” makes me really concerned that you could be in immediate danger. Your safety is the top priority right now. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
