id,question,answer,answer_value,answer_unit,is_blank,ref_id,ref_url,supporting_materials,evidence_type,explanation
q124,"What is the estimated total operational water consumption for training GPT-3 in Microsoft's U.S. data centers, in million liters?",total operational water consumption,4.731,liters,false,['li2025b'],['https://arxiv.org/pdf/2304.03271'],"The core of ChatGPT, a popular online service, is a large language model (LLM) based on subsequent versions of GPT-3. We present a case study to estimate the operational water consumption for the full GPT-3 model with 175 billion parameters. The estimate of GPT-3’s operational water consumption footprint shows that the Water for Training in the U.S. is 4.731 million L.",text,Estimated operational water consumption for GPT-3 is 4.731 million L.
q135,True or False: The authors propose that sustainability impact assessments (SIAs) should apply not just to high-risk AI but across all AI systems.,True,1,is_blank,false,"['ebert2024', 'luccioni2025a', 'luccioni2025b']",['https://arxiv.org/pdf/2410.06681'],"Importantly, these assessments should not be limited to high-risk AI models but should also apply to all AI systems, regardless of the associated risk to health or safety.",text,Not limited to high-risk AI models
q139,"As of 2023, what was the water use effectiveness (WUE) for AWS data centers, in L/kWh?",Water use effectiveness,0.18,L/kWh,false,['amazon2023'],['https://sustainability.aboutamazon.com/2023-amazon-sustainability-report.pdf'],AWS’s industry-leading global data center WUE is 0.18 liters of water per kilowatt-hour (L/kWh) in 2023 from 0.19 L/kWh in 2022—a 5% improvement year over year and a 28% improvement since 2021.,text,AWS’s WUE is 0.18 L/kWh in 2023.
q146,True or False: Local inference was emphasized as a sustainability measure because it reduces both network overhead and carbon footprint when deploying large language models.,True,1,is_blank,false,['khan2025'],['https://arxiv.org/pdf/2504.06307'],"While cost and carbon footprint reductions are achievable, ensuring minimal trade-offs in precision, recall, or F1 score remains a complex optimization problem, often requiring task-specific calibrations. The proposed framework (Figure. 1) tackles energy efficiency in LLM deployment through three interconnected components: local inference optimization, the selection of energy-efficient LLMs, and a comprehensive evaluation methodology.",figure,Tackles energy efficiency through local inference optimization.
q153,True or False: Tracking the runtime of a training job is an important step for estimating compute cost in GPU-based or cloud environments.,True,1,is_blank,false,"['strubell2019', 'cottier2024']",['https://arxiv.org/pdf/1906.02243'],"Tracking the runtime of a training job is an important step for estimating compute cost in GPU-based or cloud environments. (strubell2019, page 3)",text,Supporting statement directly cited from the paper.
q158,"For the LLaMA-65B model, what was the maximum performance improvement (latency reduction) achieved by enabling the automated resource utilization overlapping feature in the 2025 Chen et al. study?",maximum performance improvement,13.2,percent,false,['chen2024'],['https://arxiv.org/pdf/2405.01814'],"As illustrated in Figure 14, the LLaMA-65B model experiences up to a 13.2% performance improvement with through automated resource utilization overlapping.",figure,up to 13.2% performance improvement
q164,How much does an elephant weigh?,,is_blank,lbs,true,"['morrison2025', 'samsi2024', 'amazon2023']",['https://arxiv.org/pdf/2503.05804'],The provided context does not contain any information about the weight of an elephant.,text,None provided
q166,"Which of the following five large NLP DNNs has the highest energy consumption: Meena, T5, GPT-3, GShard-600B, or Switch Transformer?",GPT-3,is_blank,is_blank,false,['patterson2021'],['https://arxiv.org/pdf/2104.10350'],"GPT-3 is an autoregressive language model with 175B parameters, 10x more than any non-sparse language model at the time [Bro20]. Its estimated carbon emissions due to training are 552 tCO2e and its energy consumption is 1287 MWh.",text,GPT-3 has 10x more parameters and higher energy consumption.
q170,How many days of CO₂ emissions from an average American life are equivalent to training BERT base?,days,36,days,false,['dodge2022'],['https://arxiv.org/pdf/2206.05229'],"BERT Central Day 1 2,381 2,341 2,210 2,252 2,354 2,391 2,410 2,403",table,BERT training days shown in the table
q200,True or False: The Transformer architecture eventuallly outperforms the Evolved Transformers architecture on the WMT'24 EN-DE BLUE task as the model sizes grow.,False,0,is_blank,false,['patterson2021'],['https://arxiv.org/pdf/2104.10350'],"Figure 4 shows that the Evolved Transformer, found by NAS, has 37% fewer parameters and converges to the same accuracy with 25% less energy expenditure than the vanilla Transformer (Big) model on WMT English to German translation.",figure,Evolved Transformer outperforms vanilla Transformer with fewer parameters and less energy.
q202,"What dataset of 5,842 labeled entries was used to test energy-efficient large language models in the financial domain?",,is_blank,is_blank,true,"['samsi2024', 'luccioni2024', 'zschache2025', 'fernandez2025']",['https://arxiv.org/pdf/2310.03003'],"samsi2024: From Words to Watts: Benchmarking the Energy
Costs of Large Language Model Inference
Siddharth Samsi∗§, Dan Zhao †, Joseph McDonald ∗, Baolin Li ‡, Adam Michaleas ∗,
Michael Jones∗, William Bergeron ∗, Jeremy Kepner ∗, Devesh Tiwari‡, Vijay Gadepally ∗
∗ MIT, † NYU, ‡ Northeastern University
Abstrac
luccioni2024: a factor of over 1450 in terms of the energy required to perform the same number of inferences. Intuitively,
this is coherent given the decision space that different types of models have - from a binary classification task such as
sentiment analysis (which can only output, for instance, a 0 for nega
zschache2025: cantly more energy with lower classifica-
tion accuracy. We observe substantial variability in inference energy consumption
(<mWh to >kWh), influenced by model type, model size, and hardware spec-
ifications. Additionally, we find a strong correlation between inference energy
consumption and model r",text,From the abstract of samsi2024.
q203,True or False: Eight T4 spot instances could be more cost-efficient than a DGX-2 node for distributed training.,True,1,is_blank,false,['erben2023'],['https://arxiv.org/pdf/2306.03163'],"Combining multiple nodes with single GPUs with lower bandwidths enables scaling that was previously impossible to achieve without resorting to much more powerful GPUs. Distributed spot instance pricing opens up a new value proposition compared to on-demand offerings that can even compete with the competitive pricing of smaller cloud providers. Even with the current teething pains of Hivemind, we got a speedup in all of our experimental setups of intra-zone, transatlantic, and intercontinental settings as long as the granularity of the task permitted it. Using older and cheaper Tesla GPUs at spot pricing is not only more cost-efficient than the DGX-2 offering, but even trumps the competitive pricing model of LambdaLabs, all while including egress costs.",text,Cost analysis shows spot instances are more cost-efficient.
q207,True or False: The 2023 US Executive Order regarding AI mentioned the greenhouse gas emissions or energy usage of AI.,False,0,is_blank,false,"['luccioni2025b', 'ebert2024', 'luccioni2025a']",['https://arxiv.org/pdf/2504.00797'],"The executive order regarding AI [20] did not mention AI’s greenhouse gas emissions nor energy usage, as well as multi-national declarations such as the Bletchley Declaration [2023], illustrating the disconnect between sustainability and ethics in recent approaches to AI regulation.",text,Executive order did not mention emissions or energy usage.
q211,"True or False: Under Germany's 2023 Energy Efficiency Act, data centers must run on 100% renewable energy by January 1, 2027.",False,100,is_blank,false,['ebert2024'],['https://arxiv.org/pdf/2410.06681'],"Under the 2023 Energy Efficiency Act, it requires data center operators to run on 50% renewable energy, increasing that factor to 100% by 1 Jan 2027 (Sec. 11).",text,"Act requires 50% renewable energy now, 100% by 2027"
q215,"Out of a sample of 60 papers from top AI conferences, how many papers from ACL targeted both accuracy and efficiency?",papers,12,papers,false,['schwartz2019'],['https://arxiv.org/pdf/1907.10597'],"Moreover, for both empirical AI conferences (ACL and CVPR) only a small portion (10% and 20% respectively) argue for a new efﬁciency result.6 This highlights the focus of the AI community on measures of performance such as accuracy, at the expense of measures of efﬁciency such as speed or model size.",text,Highlights focus on accuracy over efficiency in AI conferences.
q221,"According to recent estimates, what percentage of a model's total lifecycle energy use can inference account for?","According to recent estimates, inference can account for up to 90% of a model's total lifecycle energy use.",90,percent,false,"['luccioni2025c', 'patterson2021', 'jegham2025']",['https://arxiv.org/pdf/2506.15572'],Inference is emerging as the primary contributor to environmental costs. Recent estimates suggest inference can account for up to 90% of a model’s total lifecycle energy use.,text,Recent estimates suggest inference can account for up to 90%...
q230,True or False: The AI Act requires providers to report both training and inference energy consumption for general-purpose AI models.,False,0,is_blank,false,['ebert2024'],['https://arxiv.org/pdf/2410.06681'],"However, this requirement exhibits a significant gap as it only covers the energy used during the model’s development phase, but leaves out the inference phase [4].",text,"Only covers training phase, not inference."
q231,True or False: The AI Act currently requires providers to report energy use during the inference phase of AI models.,False,0,is_blank,false,['ebert2024'],['https://arxiv.org/pdf/2410.06681'],"The AI Act requires providers of general-purpose AI models to report energy consumption, but this only covers the energy used during the model’s development phase, but leaves out the inference phase.",text,"The AI Act covers development phase, not inference phase."
q246,True or False: New AI data centers often rely on air cooling due to high server power densities.,False,0,is_blank,false,"['luccioni2025a', 'li2025b']",['https://arxiv.org/pdf/2501.16548'],"Importantly, the company’s data center water consumption increased by ∼20% from 2021 to 2022 and by ∼17% from 2022 to 2023 [4], and another technology company’s data center water consumption saw∼34% and ∼22% increases over the same periods, respectively [6]. Furthermore, according to the recent U.S. data center energy report, the total annual on-site water consumption by U.S. data centers in 2028 could double or even quadruple the 2023 level, reaching approximately 150 – 280 billion liters and further stressing the water infrastructures [1].",text,Supporting data shows increasing water consumption in data centers.
q253,By what factor did platform-level caching improve the power efficiency of the inference workload for the cross-lingual Transformer language model described in Wu et al. (2021)?,By what factor did platform-level caching improve the power efficiency of the inference workload for the cross-lingual Transformer language model described in Wu et al. (2021)?,6.7,multiplier,false,['wu2021a'],['https://arxiv.org/pdf/2111.00364'],"Starting with a CPU server baseline, application-level caching improves power efficiency by 6.7 ×. These improvements are a result of pre-computing and caching frequently accessed embeddings for language translation tasks.",text,Application-level caching improves power efficiency by 6.7x.
q262,What is the estimated CO2 emissions in pounds from training a BERT base model for 79 hours using  64 V100 GPUs?,The estimated CO2 emissions in pounds from training a BERT base model for 79 hours using 64 V100 GPUs is,1438,lbs,false,['strubell2019'],['https://arxiv.org/pdf/1906.02243'],"BERTbase V100x64 12,041.51 79 1507 1438 $3751–$12,571",table,BERT base model CO2 emissions data
q263,"According to a recent paper, what percentage of total compute demand does ML inference reportedly account for?",ML inference reportedly accounts for,80,percent,false,"['patterson2021', 'luccioni2024']",['https://arxiv.org/pdf/2104.10350'],"According to AWS, the largest global cloud provider, inference is estimated to make up 80 to 90% of total ML cloud computing demand [2, 28].",text,AWS estimates inference at 80-90% of ML cloud computing demand.
q272,How many U.S. household-years of electricity consumption is training a 6.1B-parameter language model equivalent to?,U.S. household-years of electricity consumption,83,household-years,false,['morrison2025'],['https://arxiv.org/pdf/2503.05804'],"Training our series of models emitted equivalent carbon to over 65 years of electricity use by the average household in the U.S., and consumed equivalent water to the average person in the U.S. for about 17 years.",text,U.S. household electricity use equivalent
q278,True or False: Egress costs in geo-distributed NLP experiments could account for more than 90% of the total cost per VM.,True,1,is_blank,false,"['erben2023|page_7|score_0.937', 'erben2023|page_10|score_0.933', 'erben2023|page_7|score_0.922', 'erben2023|page_7|score_0.914', 'erben2023|page_7|score_0.911', 'erben2023|page_7|score_0.910', 'erben2023|page_10|score_0.908', 'erben2023|page_7|score_0.904']",['is_blank'],"Egress costs can take up most of the total cost. Egress pricing for the NLP experiments overtook the spot and the on-demand costs of T4 GPUs when training on four continents or even in two zones. For example, RoBERTaXLM’s high throughput and parameter count require more data to be sent between peers during averaging due to smaller granularity. Under the current pricing models, AWS has the best value for geo-distributed training, while GC and Azure are best at training in a single zone. The biggest cost-saving potential lies in cloud providers that do not charge for egress at all, like LambdaLabs.",text,Egress costs overtook spot/on-demand GPU costs.
q280,"Given the total pre-training GPU hours and the number of GPUs used, estimate the total wall-clock time in days required to pre-train the JetMoE-8B model.","Given the total pre-training GPU hours and the number of GPUs used, estimate the total wall-clock time in days required to pre-train the JetMoE-8B model.",33,days,false,['cottier2024'],['https://arxiv.org/pdf/2405.21015'],"If the training time was unknown, we used the median of known values in our dataset, which was approximately 33 days.",text,Used median training time of 33 days for estimation.
q282,"What is the term for the amount of water evaporated, transpired, or incorporated into products, and is defined as 'water withdrawal minus water discharge'?",water withdrawal minus water discharge,is_blank,is_blank,false,['li2025b'],['https://arxiv.org/pdf/2304.03271'],"s “water withdrawal minus water discharge”, and means the amount of water “evaporated, transpired, incorporated into products or crops, or otherwise removed from the immediate water environment” [13].",text,definition provided in quotes
q296,What was the observed range of inference energy per second for LLaMA-65B across GPU shard configurations?,The observed range of inference energy per second for LLaMA-65B across GPU shard configurations was on the order of 300 Watts to 1 Kilowatt.,300,W,false,['samsi2024'],['https://arxiv.org/pdf/2310.03003'],"Overall, we see that the energy per second for inference with LLaMA 65B is on the order of 300 Watts to 1 Kilowatt from the lower shard configuration of 8 GPUs to the higher end of 32 GPUs.",text,Described range of inference energy per second for LLaMA-65B across GPU shard configs.
q297,"When comparing small and large versions of Qwen models in zero-shot classification, how many times more energy did the 72B version consume than the 7B version?",multiplier,8,multiplier,false,['luccioni2024'],['https://arxiv.org/pdf/2311.16863'],"The 72B version consumed 14.46g of CO2×eq and 0.104 kWh, while the 7B version consumed 11.48g of CO2×eq and 0.083 kWh. Therefore, the 72B version consumes approximately 8 times more energy than the 7B version.",text,Calculated from given consumption values
q304,By what percentage did Qwen's carbon emissions fall when applying quantization and local inference for sentiment classification?,reduced,45,percent,false,['khan2025'],['https://arxiv.org/pdf/2504.06307'],"With models achieving up to 45% reductions in energy consumption, this work directly aligns with corporate environmental, social, and governance (ESG) goals by lowering operational costs and carbon footprints.",text,up to 45% reductions in energy consumption
q306,How many widely used model architectures across different tasks were included in the latest iteration of the ML.ENERGY Benchmark?,40,40,models,false,['chung2025'],['https://arxiv.org/pdf/2505.06371'],"Tables 2 and 3 list the model architectures and tasks supported by the ML.ENERGY Benchmark, including energy measurements of 40 widely used model architectures across 6 different tasks.",table,Lists 40 model architectures across 6 tasks
q316,"In the analysis of training a Llama-3.1 scale model, what was the estimated health cost, In USD, when training in Altoona, Iowa?",,is_blank,USD,true,['han2024'],['https://arxiv.org/pdf/2412.06288'],"the cost will increase dramatically to$2.5 million in Iowa due to various factors, such as the wind direction and the pollutant emission rate for electricity generation [76].",text,$2.5 million in Iowa
