id,question,answer,answer_value,answer_unit,is_blank,ref_id,ref_url,supporting_materials,evidence_type,explanation
q124,"What is the estimated total operational water consumption for training GPT-3 in Microsoft's U.S. data centers, in million liters?",total operational water consumption,29.6,liters,false,['DOC li2025b | page 4 | score 0.943'],['is_blank'],"Table 1: Estimate of GPT-3’s operational water consumption footprint. ‘*’ denotes data centers under construction as of July 2023, whose PUE and WUE are projected by Microsoft.",table,explanation: Table provides estimated water consumption footprint
q135,True or False: The authors propose that sustainability impact assessments (SIAs) should apply not just to high-risk AI but across all AI systems.,,is_blank,is_blank,true,"['DOC ebert2024', 'DOC luccioni2025a', 'DOC luccioni2025b']",['is_blank'],"Much like data protection or algorithmic impact assessments, SIAs would serve as a practical tool for embedding climate considerations into the development and deployment of AI systems.",text,explanation through analogy
q139,"As of 2023, what was the water use effectiveness (WUE) for AWS data centers, in L/kWh?",0.18,0.18,L/kWh,false,['amazon2023'],['https://sustainability.aboutamazon.com/2023-amazon-sustainability-report.pdf'],AWS Water Use Effectiveness improve AWS’s industry-leading global data center WUE to 0.18 liters of water per kilowatt-hour (L/kWh) in 2023 from 0.19 L/kWh in 2022—a 5% improvement year over year and a 28% improvement since 2021.,evidence_type,text: explanation
q146,True or False: Local inference was emphasized as a sustainability measure because it reduces both network overhead and carbon footprint when deploying large language models.,,is_blank,is_blank,true,"['DOC khan2025', 'DOC zschache2025']",['is_blank'],"Cutting costs by up to 90% [5], [6]. However, the effectiveness of these strategies varies across tasks. For example, reducing token lengths or approximating model outputs might preserve general quality but risks performance drops in nuanced applications like sentiment analysis or summarization [22].",text,explanation
q153,True or False: Tracking the runtime of a training job is an important step for estimating compute cost in GPU-based or cloud environments.,,is_blank,is_blank,true,"['DOC strubell2019', 'DOC cottier2024']",['is_blank'],The runtime of a training job is not explicitly mentioned as an important step for estimating compute cost in GPU-based or cloud environments.,evidence_type,text: explanation
q158,"For the LLaMA-65B model, what was the maximum performance improvement (latency reduction) achieved by enabling the automated resource utilization overlapping feature in the 2025 Chen et al. study?",13.2%,13.2,percent,false,['DOC chen2024 | page 11'],['is_blank'],"As illustrated in Figure 14, the LLaMA-65B model experiences a significant improvement in performance, achieving up to a 13.2% with through automated resource utilization overlapping.",figure,evidence in figure 14
q164,How much does an elephant weigh?,,is_blank,lbs,true,['DOC morrison2025'],['is_blank'],The context provided does not contain information about the weight of an elephant.,evidence_type,text: explanation
q166,"Which of the following five large NLP DNNs has the highest energy consumption: Meena, T5, GPT-3, GShard-600B, or Switch Transformer?",,is_blank,is_blank,true,"['DOC patterson2021 | page 4', 'DOC patterson2021 | page 7']",['is_blank'],"Table 3 shows average system power per processor for DNNs in this paper, including Google's DNNs and OpenAI's GPT-3.",table,explanation_table_3_power_consumption
q170,How many days of CO₂ emissions from an average American life are equivalent to training BERT base?,days,21,days,false,['DOC dodge2022 | page 8 | score 0.887'],['is_blank'],"Even partially trained, experiments of this size can emit more CO2 than all emissions from the average US home for a year (which includes emissions from electricity generation, natural gas, liquid petroleum gas, and fuel oil, totaling 8.3 metric tons CO2 per year).",text,explanation
q200,True or False: The Transformer architecture eventuallly outperforms the Evolved Transformers architecture on the WMT'24 EN-DE BLUE task as the model sizes grow.,,is_blank,is_blank,true,"['DOC patterson2021 | page 7', 'DOC patterson2021 | page 8']",['is_blank'],"Figure 4: Reproduction of Figure 4 from So et al. Dots on the blue line represent various sizes of plain Transformer NLP models, while dots on the red line represent various sizes of the open-sourced Evolved Transformer architecture that was discovered by the neural architecture search run in [So19]. Red arrows are at 131M and 210M parameters and show that an Evolved Transformer can achieve higher accuracy at less cost: it runs 1.3x faster and produces 1.3x less CO2.",figure,Explanation in figure 4 shows performance difference clearly
q202,"What dataset of 5,842 labeled entries was used to test energy-efficient large language models in the financial domain?",,is_blank,is_blank,true,"['samsi2024', 'luccioni2024', 'zschache2025', 'fernandez2025']",['https://arxiv.org/pdf/2310.03003'],"In this paper, we describe experiments conducted to study the computational a",text,explanation
q203,True or False: Eight T4 spot instances could be more cost-efficient than a DGX-2 node for distributed training.,,is_blank,is_blank,true,"['DOC erben2023 | page 10', 'DOC erben2023 | page 1', 'DOC erben2023 | page 11']",['is_blank'],"While we used low spot prices as a cost-saving argument in our experiments, we did not elaborate on the most significant drawback - the possibility of being terminated by the cloud provider at any time.",text,explanation
q207,True or False: The 2023 US Executive Order regarding AI mentioned the greenhouse gas emissions or energy usage of AI.,,is_blank,is_blank,true,"['DOC luccioni2025b', 'DOC ebert2024', 'DOC luccioni2025a', 'DOC luccioni2025c']",['is_blank'],"executive Or der regarding AI [20], which did not mention AI’s greenhouse gas emissions nor energy usage, as well as multi-natio n declarations such as the Bletchley Declaration [2023], illustrating the disconnect between sustainability and et hics in recent approaches to AI regulation.",evidence_type,text: explanation
q211,"True or False: Under Germany's 2023 Energy Efficiency Act, data centers must run on 100% renewable energy by January 1, 2027.",,is_blank,is_blank,true,"['DOC ebert2024 | page 2', 'DOC ebert2024 | page 3']",['is_blank'],"According to the 2023 Energy Efficiency Act, data centers must run on 100% renewable energy by January 1, 2027.",text,explanation
q215,"Out of a sample of 60 papers from top AI conferences, how many papers from ACL targeted both accuracy and efficiency?",,is_blank,papers,true,"['schwartz2019', 'cottier2024', 'chung2025', 'morrison2025', 'jegham2025', 'rubei2025']",['https://arxiv.org/pdf/1907.10597'],"schwartz2019: Figure 2: AI papers tend to target accuracy rather than efﬁciency. The ﬁgure shows the proportion of papers that
target accuracy, efﬁciency, both or other from a sample of 60 papers from top AI conferences.
by pushing the boundaries of AI. Our exposition here is meant to highlight areas where comput
cottier2024: Artificial Intelligence Index Report 2023. arXiv
preprint arXiv:2310.03715, 2023.
[2] Neil C Thompson, Shuning Ge, and Gabriel F Manso. The importance of (exponentially more) computing power.
arXiv preprint arXiv:2206.14007, 2022.
[3] Jared Kaplan, Sam McCandlish, Tom Henighan, Tom B Brown, Benjamin
schwartz2019: rly dominant. We want to shift the balance towards the Green AIoption—to ensure that any inspired undergraduate
with a laptop has the opportunity to write high-quality papers that could be accepted at premier research conferences.
∗The ﬁrst two authors contributed equally. The research was done at t",evidence_type,figure: explanation
q221,"According to recent estimates, what percentage of a model's total lifecycle energy use can inference account for?",percentage,90,percent,false,['DOC jegham2025'],['is_blank'],"Recent estimates suggest inference can account for up to 90% of a model’s total lifecycle energy use [14, 15].",evidence_type,text: explanation
q230,True or False: The AI Act requires providers to report both training and inference energy consumption for general-purpose AI models.,,is_blank,is_blank,true,"['DOC ebert2024', 'DOC luccioni2025c', 'DOC morrison2025', 'DOC chung2025']",['is_blank'],"This gap in the AI Act is evident: 'However, this requirement exhibits a significant gap as it only covers the energy used during the model’s development phase, but leaves out the inference phase'",text,explanation: Explanation found in text material
q231,True or False: The AI Act currently requires providers to report energy use during the inference phase of AI models.,,is_blank,is_blank,true,"['DOC ebert2024 | page 4 | score 0.926', 'DOC ebert2024 | page 8 | score 0.924']",['is_blank'],"The AI Act requires providers of general-purpose AI models to meet transparency obligations, including the reporting of energy consumption, but only during the model's development phase. It leaves out the inference phase.",evidence_type,text: explanation
q246,True or False: New AI data centers often rely on air cooling due to high server power densities.,,is_blank,is_blank,true,"['DOC luccioni2025a', 'DOC li2025b']",['is_blank'],New AI data centers often rely on air cooling due to high server power densities.,text,explanation
q253,By what factor did platform-level caching improve the power efficiency of the inference workload for the cross-lingual Transformer language model described in Wu et al. (2021)?,multiplier,800,multiplier,false,['DOC wu2021a | page 4'],['is_blank'],"The optimizations in aggregate provide, on average, a 20% reduction in operational power consumption every six months. 810
121
12 5 11
10
100
1,000
CPU BaselineCPU DataManagementGPU FP32GPU FP16FasterTransformer
Operational Power Footprint Normalized to Optimized Transformer on GPUs 
Platform-Level Caching
GPU Accelerators
Numerical Optimization
Platform+ Hardware +Algorithm810 x
OptimizedTransformer",evidence_type,text: explanation
q262,What is the estimated CO2 emissions in pounds from training a BERT base model for 79 hours using  64 V100 GPUs?,Estimated CO2 emissions in pounds,1438,lbs,false,['DOC dodge2022 | page 6 | score 0.939'],['is_blank'],"The total energy amounted to a staggering 13.8 MWh. This model was not trained to completion, but only until 13%; a full training run would take 60 days. Thus, we estimate the total energy consumption to train this model to completion would be approximately (60/8)*13.8 = 103.5 MWh, or 103,500 kWh — almost 2800 times more than training the BERT-small model!",text,explanation
q263,"According to a recent paper, what percentage of total compute demand does ML inference reportedly account for?",percentage,80,percent,false,"['DOC patterson2021', 'DOC luccioni2024']",['is_blank'],"According to NVIDIA, 80–90% of the ML workload is inference processing [Leo19]. Similarly, Amazon Web services claimed that 90% of the ML demand in the cloud is for inference [Bar19].",text,explanation
q272,How many U.S. household-years of electricity consumption is training a 6.1B-parameter language model equivalent to?,6.1B-parameter language model,household-years,household-years,false,['DOC morrison2025'],['is_blank'],Training a 6.1B-parameter language model emitted equivalent carbon to over 65 years of electricity use by the average household in the U.S.,evidence_type,text: explanation
q278,True or False: Egress costs in geo-distributed NLP experiments could account for more than 90% of the total cost per VM.,,is_blank,is_blank,true,"['DOC erben2023 | page 7 | score 0.937', 'DOC erben2023 | page 10 | score 0.933']",['is_blank'],"Figure 11: Costs breakdown for D-2/3 and C-8 experiments. Each peer sends its gradients to every other peer. This means that 3 of the egress was internal to the partner VM in the same cloud, and the remaining 2/3 went to the remaining two peers in the other cloud.",figure,Explanation in Figure 11 shows costs breakdown
q280,"Given the total pre-training GPU hours and the number of GPUs used, estimate the total wall-clock time in days required to pre-train the JetMoE-8B model.",days,33,days,false,['DOC cottier2024'],['is_blank'],"The precise way to amortize the training cost through exponential depreciation is:
Amortized training cost ≈ Start value per chip × Training chip-hours
(365 × 24) hours/year × r ln 10
where training time is in years.",text,explanation
q282,"What is the term for the amount of water evaporated, transpired, or incorporated into products, and is defined as 'water withdrawal minus water discharge'?",,is_blank,is_blank,true,['DOC li2025b | page 1 | score 0.906'],['is_blank'],"s “water withdrawal minus water discharge”, and means the amount
of water “evaporated, transpired, incorporated into products or crops, or otherwise removed from the immediate water environment” [13].",text,explanation
q296,What was the observed range of inference energy per second for LLaMA-65B across GPU shard configurations?,Inference Energy Per Second,300,W,false,"['samsi2024 | page 4 | score 0.951', 'samsi2024 | page 4 | score 0.923']",['is_blank'],"Figures 4 and 5 show a more in-depth look of the energy inference costs of LLaMA 65B across different batch sizes and degrees of sharding. Specifically, Figure 4 shows energy costs for maximum generation length 512 and Figure 5 shows energy costs for 1024.",figure,explanation
q297,"When comparing small and large versions of Qwen models in zero-shot classification, how many times more energy did the 72B version consume than the 7B version?",multiplier,3.3,multiplier,false,['DOC luccioni2024'],['is_blank'],The 72B version consumes 3.3x more energy than the 7B version.,evidence_type,text: explanation
q304,By what percentage did Qwen's carbon emissions fall when applying quantization and local inference for sentiment classification?,Qwen,4,percent,false,['DOC khan2025 | page 4'],['is_blank'],"Table III shows significant reductions in carbon emissions across all models, with some achieving up to 45% after optimization.",table,explanation_missing_table_in_supporting_materials
q306,How many widely used model architectures across different tasks were included in the latest iteration of the ML.ENERGY Benchmark?,models,models,models,false,"['DOC chung2025 | page 27 | score 0.927', 'DOC chung2025 | page 22 | score 0.922']",['is_blank'],"Table 2: Model type, task, and default request dataset used in the ML.ENERGY Benchmark.
Model architecture Task Request dataset
Large Language Model Chat ShareGPT [72]
Code EvalPlus [45]
Vision Language Model Visual chat LLaV A instruction dataset [43]
Diffusion Model
Text-to-image PartiPrompts [83]
Text-to-video Captions in ShareGPT4Video [18]
Image-to-video Captions and first frames in ShareGPT4Video [18]",table,explanation in table
q316,"In the analysis of training a Llama-3.1 scale model, what was the estimated health cost, In USD, when training in Altoona, Iowa?",USD,2.5,USD,false,"['1', '3', '5', '7', '9', '11', '13']",['is_blank'],"The total health cost will increase dramatically to $2.5 million in Iowa due to various factors, such as the wind direction and the pollutant emission rate for electricity generation",text,explanation
